
HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
 262, 67    Psc,  5382,     ,         ,00 55 58.5,+27 12 34, 6.09, 0.14,  A5IV              ,
 263,          ,  5384,     ,         ,00 55 42.4,-07 20 50, 5.85, 1.52,  K5III             ,*
 264, 27Gam Cas,  5394,  782,Gam Cas  ,00 56 42.5,+60 43 00, 2.47,-0.15,  B0IVe             ,*
 265, 28Ups2Cas,  5395,     ,         ,00 56 39.8,+59 10 52, 4.63, 0.96,  G8IIIbFe-0.5      ,*
 266,          ,  5408,  784,         ,00 56 47.1,+60 21 46, 5.55,-0.07,  B9IVn             ,*
 267, 22Phi3Cet,  5437,     ,         ,00 56 01.5,-11 16 00, 5.31, 1.52,  K4III             ,
 268,          ,  5445,     ,         ,00 55 55.5,-27 46 32, 6.10, 1.67,  M0III             ,
 269, 37Mu  And,  5448,  788,         ,00 56 45.2,+38 29 58, 3.87, 0.13,  A5V               ,*
 270,   Lam2Tuc,  5457,     ,         ,00 55 00.3,-69 31 37, 5.45, 1.09,  K2III             ,
 271, 38Eta And,  5516,     ,         ,00 57 12.4,+23 25 03, 4.42, 0.94,  G8IIIb            ,*
 272,          ,  5526,     ,         ,00 57 39.7,+45 50 23, 6.12, 1.02,  K2III             ,
 273,          ,  5550,     ,         ,00 58 31.1,+66 21 08, 5.97,-0.02,  A0III             ,
 274, 68    Psc,  5575,     ,         ,00 57 50.2,+28 59 32, 5.42, 1.08, gG6                ,
 275,          ,  5608,     ,         ,00 58 14.2,+33 57 03, 5.98, 1.00,  K0                ,
 276,          ,  5612,     ,         ,00 57 54.5,+13 41 45, 6.32, 0.89,  G8III             ,*
 277,          ,  5641,  805,         ,00 58 18.9,+21 24 16, 6.37, 0.09,  A2V               ,*
 278,          ,  5715,     ,         ,01 00 31.0,+70 58 59, 6.39, 0.13,  A4IV              ,*
 279, 23Phi4Cet,  5722,     ,         ,00 58 43.9,-11 22 48, 5.61, 0.97,  G7III             ,
 280,   Alp Scl,  5737,     ,  359    ,00 58 36.4,-29 21 27, 4.31,-0.16,  B7IIIp            ,*
 281,          ,  5771,     ,         ,00 58 22.4,-60 41 47, 6.23, 0.10,  Am                ,
 282,          ,  5788,  824,         ,01 00 03.4,+44 42 40, 6.84,     ,  A2Vn              ,*
 283,          ,  5789,  824,         ,01 00 03.6,+44 42 48, 6.04,-0.01,  B9.5Vn            ,*
 284,          ,  5820,     ,WW Psc   ,00 59 49.7,+06 28 59, 6.11, 1.67,  M2III             ,*
 285,          ,  5848,     ,         ,01 08 44.7,+86 15 25, 4.25, 1.21,  K2II-III          ,*
 286,          ,  5914,     ,         ,01 33 50.4,+89 00 56, 6.46, 0.11,  A3V               ,
 287,          ,  6028,     ,         ,01 02 18.4,+51 02 06, 6.47,     ,  A3V               ,
 288,   Xi  Scl,  6055,     ,         ,01 01 18.3,-38 55 00, 5.59, 1.18,  K0III             ,
 289,          ,  6114,  862,         ,01 03 01.5,+47 22 34, 6.45, 0.25,  A9IV              ,*
 290, 39    And,  6116,  863,         ,01 02 54.3,+41 20 42, 5.98, 0.16,  A5m               ,*
 291, 69Sig Psc,  6118,     ,         ,01 02 49.1,+31 48 16, 5.50,-0.05,  B9.5V             ,*
 292,          ,  6130,  868,         ,01 03 37.0,+61 04 30, 5.92, 0.49,  F0II              ,
 293,   Sig Scl,  6178,     ,         ,01 02 26.4,-31 33 07, 5.50, 0.08,  A2V               ,
 294, 71Eps Psc,  6186,     ,         ,01 02 56.6,+07 53 24, 4.28, 0.96,  K0III             ,*
 295,   Ome Phe,  6192,     ,         ,01 02 01.8,-57 00 09, 6.11, 0.94,  G8III             ,
 296, 25    Cet,  6203,     ,         ,01 03 02.6,-04 50 12, 5.43, 1.11,  K0III-IV          ,
 297,          ,  6210,     ,         ,01 04 19.6,+61 34 49, 5.84, 0.54,  F6V               ,
 298,          ,  6211,     ,         ,01 04 02.4,+52 30 08, 5.99, 1.47,  K2                ,
 299,          ,  6245,     ,         ,01 02 49.2,-46 23 51, 5.36, 0.90,  G8III             ,
 300,          ,  6269,     ,         ,01 03 17.6,-29 31 33, 6.29, 0.93,  G5IV              ,
 301, 26    Cet,  6288,  875,         ,01 03 49.0,+01 22 00, 6.04, 0.27,  F1V               ,*
 302,          ,  6300,     ,         ,01 04 46.8,+51 00 36, 6.54,-0.08,  B3V               ,*
 303,          ,  6301,     ,         ,01 04 27.6,+29 39 31, 6.19, 0.43,  F7IV-V            ,
 304,          ,  6311,     ,CC Tuc   ,01 02 42.9,-65 27 22, 6.21, 1.64,  M2III             ,*
 305,          ,  6314,     ,         ,01 04 36.4,+39 59 28, 6.72, 0.31,  F0Vn              ,
 306,          ,  6319,     ,         ,01 16 13.5,+87 08 43, 6.25, 1.12, gK2                ,
 307, 73    Psc,  6386,     ,         ,01 04 52.6,+05 39 23, 6.00, 1.51, gK5                ,
 308, 72    Psc,  6397,  889,         ,01 05 05.4,+14 56 46, 5.68, 0.41,  F4II-III          ,*
 309,          ,  6416,     ,         ,01 06 22.8,+62 45 42, 6.54, 0.19,  A5Vn              ,*
 310, 74Psi1Psc,  6456,  899,  397    ,01 05 40.9,+21 28 24, 5.34,-0.03,  A1Vn              ,*
 311, 74Psi1Psc,  6457,  899,         ,01 05 41.7,+21 27 55, 5.56,-0.07,  A0Vn              ,*
 312,          ,  6473,     ,         ,01 09 12.3,+80 00 42, 6.29,     ,sgG6                ,
 313, 77    Psc,  6479,  903,         ,01 05 49.2,+04 54 30, 6.35, 0.38,  F3V               ,*
 314, 77    Psc,  6480,  903,         ,01 05 51.4,+04 54 34, 7.25, 0.49,  F6V               ,*
 315, 27    Cet,  6482,     ,         ,01 05 36.8,-09 58 45, 6.12, 1.01,  K0III             ,*
 316,          ,  6497,     ,         ,01 07 00.2,+56 56 06, 6.43, 1.18,  K2III             ,*
 317, 28    Cet,  6530,     ,         ,01 06 05.1,-09 50 22, 5.58, 0.01,  A1V               ,*
 318,          ,  6540,  915,         ,01 07 09.5,+53 29 54, 6.38,     ,  K2III             ,*
 319, 75    Psc,  6557,     ,         ,01 06 33.6,+12 57 22, 6.12, 0.96,  G8III             ,
 320,          ,  6559,     ,         ,01 06 07.7,-23 59 33, 6.14, 1.09,  G8-K0III          ,
 321, 30Mu  Cas,  6582,     ,  405    ,01 08 16.4,+54 55 13, 5.17, 0.69,  G5Vb              ,*
 322,   Bet Phe,  6595,     ,  400    ,01 06 05.0,-46 43 07, 3.31, 0.89,  G8III             ,*
 323,          ,  6619,     ,         ,01 06 26.5,-35 39 39, 6.61, 0.14,  A1V               ,*
 324, 41    And,  6658,     ,         ,01 08 00.9,+43 56 31, 5.03, 0.11,  A3m               ,*
 325,          ,  6668,     ,         ,01 07 13.1,-23 59 47, 6.37, 0.23,  A7V               ,
 326,          ,  6676,     ,         ,01 08 33.3,+58 15 49, 5.79,-0.01,  B8V               ,
 327, 78    Psc,  6680,     ,         ,01 08 01.3,+32 00 44, 6.25, 0.40,  F5IV              ,*
 328, 79Psi2Psc,  6695,     ,         ,01 07 57.2,+20 44 21, 5.55, 0.13,  A3V               ,
 329, 30    Cet,  6706,     ,         ,01 07 46.2,-09 47 08, 5.82, 0.43,  F7IV              ,
 330, 80    Psc,  6763,     ,  410    ,01 08 22.2,+05 38 59, 5.52, 0.34,  F0III-IV          ,*
 331,   Ups Phe,  6767,     ,         ,01 07 47.9,-41 29 13, 5.21, 0.16,  A3IV              ,*
 332,   Iot Tuc,  6793,     ,         ,01 07 18.7,-61 46 31, 5.37, 0.88,  G5III             ,
 333,          ,  6798,     ,         ,01 12 16.7,+79 40 26, 5.64, 0.01,  A3V               ,
 334, 31Eta Cet,  6805,     ,         ,01 08 35.4,-10 10 56, 3.45, 1.16,  K1.5IIICN1Fe0.5   ,*
 335, 42Phi And,  6811,  940,Var?     ,01 09 30.2,+47 14 31, 4.25,-0.07,  B7Ve              ,*
 336, 31    Cas,  6829,     ,         ,01 10 39.3,+68 46 43, 5.29,-0.02,  A0Vnn             ,*
 337, 43Bet And,  6860,  949,  414    ,01 09 43.9,+35 37 14, 2.06, 1.58,  M0+IIIa           ,*
 338,   Zet Phe,  6882,     ,Zet Phe  ,01 08 23.1,-55 14 45, 3.92,-0.08,  B6V+B9V           ,*
 339, 81Psi3Psc,  6903,     ,Var?     ,01 09 49.2,+19 39 31, 5.55, 0.69,  G0III             ,
 340, 44    And,  6920,     ,         ,01 10 18.8,+42 04 53, 5.65, 0.60,  F8V               ,
 341,          ,  6953,     ,         ,01 10 19.4,+25 27 28, 5.80, 1.47,  K7III             ,
 342,          ,  6960,     ,  424    ,01 11 25.6,+64 12 10, 5.55,-0.07,  B9.5V             ,*
 343, 33The Cas,  6961,     ,  423    ,01 11 06.2,+55 08 59, 4.33, 0.17,  A7V               ,*
 344,          ,  6966,     ,         ,01 10 11.5,+15 40 27, 6.06, 1.49,  M0III             ,
 345, 32    Cas,  6972,     ,RU Cas   ,01 11 41.4,+65 01 08, 5.57,-0.09,  B9IV              ,*
 346, 32    Cet,  6976,     ,         ,01 10 12.0,-08 54 22, 6.40, 1.04,  K0III             ,
 347, 33    Cet,  7014,     ,  422    ,01 10 33.6,+02 26 44, 5.95, 1.51,  K4III             ,*
 348, 45    And,  7019,     ,         ,01 11 10.3,+37 43 27, 5.81,-0.10,  B7III-IV          ,*
 349, 82    Psc,  7034,     ,         ,01 11 06.8,+31 25 29, 5.16, 0.23,  F0V               ,
 350,          ,  7082,     ,         ,01 10 07.4,-57 41 40, 6.41, 0.89,  G6II-III          ,
 351, 84Chi Psc,  7087,     ,         ,01 11 27.2,+21 02 05, 4.66, 1.03,  G8.5III-IIIa      ,
 352, 83Tau Psc,  7106,     ,         ,01 11 39.6,+30 05 23, 4.51, 1.09,  K0.5IIIb          ,
 353, 34    Cet,  7147,     ,         ,01 11 43.5,-02 15 04, 5.94, 1.40,  K4III             ,*
 354,          ,  7157,  987,         ,01 13 09.9,+61 42 21, 6.41, 0.01,  B9V               ,
 355,          ,  7158,     ,         ,01 12 34.0,+45 20 16, 6.11, 1.64,  M1III             ,
 356,          ,  7229,  990,         ,01 12 59.5,+30 03 51, 6.19, 1.00,  G9III+G1V         ,*
 357,          ,  7238,     ,         ,01 16 30.7,+79 54 36, 6.26, 0.42,  F5V s             ,
 358,          ,  7259,     ,         ,01 12 23.4,-30 48 08, 6.52, 0.48,  F7IV              ,
 359,          ,  7312,     ,AI Scl   ,01 12 45.4,-37 51 23, 5.92, 0.28,  F0III             ,*
 360, 85Phi Psc,  7318,  995,         ,01 13 44.9,+24 35 01, 4.65, 1.04,  K0III             ,*
 361, 86Zet Psc,  7344,  996,         ,01 13 43.9,+07 34 31, 5.24, 0.32,  A7IV              ,*
 362, 86Zet Psc,  7345,  996,  442    ,01 13 45.3,+07 34 42, 6.30, 0.49,  F7V               ,*
 363,          ,  7351,     ,  444    ,01 14 05.0,+28 31 47, 6.43, 1.70,  S3+/2-            ,*
 364, 87    Psc,  7374,     ,  445    ,01 14 07.6,+16 08 01, 5.98,-0.08,  B8III             ,*
 365,          ,  7389,     ,         ,01 16 12.1,+71 44 38, 7.83, 0.78,  K1V               ,*
 366, 37    Cet,  7439, 1003,  446    ,01 14 24.0,-07 55 23, 5.13, 0.46,  F5V               ,*
 367, 88    Psc,  7446,     ,         ,01 14 42.4,+06 59 43, 6.03, 1.08, gG6                ,
 368, 38    Cet,  7476,     ,         ,01 14 49.2,-00 58 26, 5.70, 0.42,  F5V               ,*
 369,          ,  7546,     ,         ,01 16 24.5,+48 04 56, 6.61,-0.05,  B9IIIpSi          ,
 370,   Nu  Phe,  7570,     ,         ,01 15 11.1,-45 31 53, 4.96, 0.58,  F8V               ,*
 371,          ,  7578,     ,         ,01 16 18.8,+33 06 53, 6.02, 1.15,  K1III             ,*
 372,          ,  7647,     ,         ,01 17 05.1,+44 54 07, 6.34,     ,  K5                ,
 373, 39    Cet,  7672,     ,AY Cet   ,01 16 36.3,-02 30 01, 5.41, 0.90,  G5IIIe+dA         ,*
 374,          ,  7724,     ,         ,01 17 24.1,+31 44 41, 6.73,     ,  K0                ,
 375,          ,  7732,     ,         ,01 20 19.5,+77 34 14, 6.31, 0.92,  G5III             ,
 376,          ,  7758,     ,         ,01 18 10.2,+47 25 11, 6.25, 1.35,  K0                ,
 377,   Kap Tuc,  7788,     ,  454    ,01 15 46.1,-68 52 34, 4.86, 0.47,  F6IV              ,*
 378, 89    Psc,  7804,     ,         ,01 17 48.0,+03 36 52, 5.16, 0.07,  A3V               ,*
 379,          ,  7853, 1055,         ,01 18 47.0,+37 23 10, 6.46, 0.23,  A5m               ,
 380,          ,  7916,     ,         ,01 17 03.6,-66 23 53, 6.24, 0.05,  A0V               ,
 381,          ,  7925,     ,         ,01 21 59.1,+76 14 20, 6.38, 0.28,  F0IVn             ,
 382, 34Phi Cas,  7927, 1073,         ,01 20 04.9,+58 13 54, 4.98, 0.68,  F0Ia              ,*
 383, 90Ups Psc,  7964,     ,         ,01 19 28.0,+27 15 51, 4.76, 0.03,  A3V               ,
 384, 35    Cas,  8003, 1088,  474    ,01 21 05.2,+64 39 30, 6.34, 0.09,  A2Vnn             ,
 385, 42    Cet,  8036, 1081,         ,01 19 48.3,-00 30 32, 5.87, 0.64,  G8III+A7V         ,*
 386,          ,  8065,     ,         ,01 23 46.8,+78 43 33, 6.07, 0.39,  A0Iab             ,
 387,          ,  8120,     ,         ,01 20 34.5,-03 14 49, 6.23, 1.02,  K1III             ,
 388,          ,  8121,     ,         ,01 20 27.8,-11 14 20, 6.15, 1.11,  K1III             ,
 389, 91    Psc,  8126,     ,         ,01 21 07.4,+28 44 17, 5.23, 1.39, gK5                ,
 390, 46Xi  And,  8207,     ,         ,01 22 20.4,+45 31 44, 4.88, 1.08,  K0-IIIb           ,*
 391,          ,  8272, 1105,         ,01 23 21.6,+58 08 35, 6.45,     ,  F4V               ,*
 392,          ,  8334,     ,         ,01 22 37.0,+01 43 35, 6.20, 1.52,  K5IIIab           ,
 393, 43    Cet,  8335,     ,  487    ,01 22 34.8,-00 26 59, 6.49, 1.08, gK0                ,
 394,          ,  8350, 1106,         ,01 22 30.5,-19 04 53, 6.35, 0.48,  F6IV              ,*
 395, 47    And,  8374,     ,         ,01 23 40.6,+37 42 54, 5.58, 0.26,  A2Vm              ,*
 396,          ,  8375,     ,         ,01 23 37.5,+34 14 45, 6.29, 0.83,  G8IV              ,
 397,          ,  8388,     ,         ,01 23 24.9,+20 28 08, 5.97, 1.71,  K5                ,
 398,          ,  8424,     ,         ,01 25 46.5,+70 58 48, 6.49,     ,  A0Vnn             ,
 399, 36Psi Cas,  8491, 1129,         ,01 25 56.0,+68 07 48, 4.74, 1.05,  K0III             ,*
 400,          ,  8498,     ,         ,01 23 31.0,-30 56 44, 5.84, 1.61,  K5III             ,*
 401, 44    Cet,  8511,     ,AV Cet   ,01 24 02.5,-08 00 27, 6.21, 0.23,  F0V               ,*
 402, 45The Cet,  8512, 1118,         ,01 24 01.4,-08 11 00, 3.60, 1.06,  K0III-IIIb        ,*
 403, 37Del Cas,  8538,     ,Del Cas  ,01 25 49.0,+60 14 07, 2.68, 0.13,  A5III-IV          ,*
 404,          ,  8556, 1123,         ,01 24 20.6,-06 54 53, 5.91, 0.41,  F3V               ,*
 405,          ,  8589,     ,         ,01 24 39.8,-15 39 37, 6.14, 0.91,  G5                ,*
 406,          ,  8599,     ,         ,01 24 48.7,-02 50 55, 6.15, 0.96,  G8III             ,
 407,          ,  8634,     ,         ,01 25 35.7,+23 30 42, 6.18, 0.43,  F5III             ,*
 408,          ,  8651,     ,         ,01 24 40.8,-41 29 33, 5.42, 1.04,  K0III             ,
 409,          ,  8671,     ,         ,01 26 18.6,+43 27 28, 5.96, 0.49,  F7V               ,
 410,          ,  8673,     ,         ,01 26 08.7,+34 34 47, 6.31, 0.47,  F7V               ,*
 411,          ,  8681,     ,         ,01 24 41.9,-44 31 42, 6.26, 1.14,  K1II              ,
 412, 46    Cet,  8705,     ,         ,01 25 37.2,-14 35 56, 4.90, 1.23,  K2.5IIIb          ,
 413, 93Rho Psc,  8723,     ,  506    ,01 26 15.3,+19 10 20, 5.38, 0.39,  F2V:              ,
 414, 94    Psc,  8763,     ,         ,01 26 41.7,+19 14 25, 5.50, 1.11,  K1III             ,*
 415,          ,  8774,     ,         ,01 27 06.2,+34 22 39, 6.27, 0.46,  F7IVb vs          ,*
 416,          ,  8779,     ,         ,01 26 27.3,-00 23 55, 6.41, 1.24,  K0IV              ,
 417, 48Ome And,  8799, 1152,         ,01 27 39.4,+45 24 24, 4.83, 0.42,  F5IV              ,*
 418,          ,  8801, 1151,         ,01 27 26.6,+41 06 02, 6.46, 0.27,  A7m               ,*
 419,          ,  8803, 1148,         ,01 26 53.5,+03 32 07, 6.58,-0.04,  B9V+A8V           ,*
 420,          ,  8810,     ,         ,01 25 05.3,-64 22 10, 5.93, 1.56,  K5III             ,
 421, 47    Cet,  8829,     ,  512    ,01 26 51.6,-13 03 24, 5.66, 0.35,  F0IIIDel Del      ,
 422,          ,  8837,     ,         ,01 27 47.0,+40 20 08, 6.60,-0.04,  A0III             ,*
 423,          ,  8879,     ,R Scl    ,01 26 58.1,-32 32 35, 5.79, 3.86,  C6II              ,*
 424,  1Alp UMi,  8890, 1477,Alp UMi  ,02 31 48.7,+89 15 51, 2.02, 0.60,  F7:Ib-II          ,*
 425,          ,  8921, 1162,         ,01 27 46.6,-10 54 06, 6.13, 1.32,  K4III-IV          ,
 426,          ,  8949,     ,  519    ,01 28 22.9,+07 57 41, 6.20, 1.12,  K1III             ,*
 427, 38    Cas,  9021,     ,         ,01 31 13.8,+70 15 53, 5.81, 0.47,  F6V               ,*
 428,          ,  9030,     ,         ,01 30 52.3,+66 05 53, 6.14, 0.08,  A2V s             ,*
 429,   Gam Phe,  9053,     ,Gam Phe  ,01 28 21.9,-43 19 06, 3.41, 1.57,  M0-IIIa           ,*
 430, 49    And,  9057,     ,         ,01 30 06.2,+47 00 26, 5.27, 1.00,  K0III             ,
 431,          ,  9065,     ,WZ Scl   ,01 28 43.3,-33 45 49, 6.58, 0.30,  F0IV              ,*
 432, 97    Psc,  9100,     ,VX Psc   ,01 29 52.9,+18 21 20, 6.02, 0.14,  A4IV              ,*
 433, 48    Cet,  9132, 1184,         ,01 29 36.1,-21 37 46, 5.12, 0.02,  A1V               ,
 434, 98Mu  Psc,  9138,     ,         ,01 30 11.1,+06 08 38, 4.84, 1.37,  K4III             ,*
 435,          ,  9184,     ,AW Phe   ,01 29 30.4,-46 45 23, 6.31, 1.66,  M2III             ,*
 436,          ,  9228, 1193,         ,01 30 22.9,-26 12 28, 5.93, 1.34,  K4III             ,*
 437, 99Eta Psc,  9270, 1199,  532    ,01 31 29.0,+15 20 45, 3.62, 0.97,  G7IIIa            ,*
 438,          ,  9298,     ,         ,01 32 07.6,+34 48 00, 6.39,-0.12,  B7IIIpHgMn        ,
 439,          ,  9352,     ,         ,01 33 25.8,+58 19 39, 5.70, 1.52,  K0Ib+B9V          ,*
 440,   Del Phe,  9362,     ,         ,01 31 15.1,-49 04 22, 3.95, 0.99,  K0III             ,
 441,          ,  9377,     ,         ,01 31 43.3,-30 17 00, 5.82, 1.08,  K0III             ,
 442, 39Chi Cas,  9408,     ,         ,01 33 55.9,+59 13 55, 4.71, 1.00,  G9IIIb            ,
 443,          ,  9414,     ,         ,01 31 39.1,-45 34 32, 6.17, 0.06,  A2V               ,*
 444,          ,  9484,     ,Var      ,01 33 03.5,-09 00 53, 6.59,-0.04,  A0III             ,*
 445,          ,  9525,     ,         ,01 32 56.0,-36 51 55, 5.51, 1.02,  K0III             ,
 446,          ,  9531,     ,KK And   ,01 34 16.6,+37 14 14, 5.88,-0.07,  B9IV              ,*
 447,          ,  9544,     ,         ,01 32 36.3,-49 43 40, 6.28, 0.46,  F4V               ,
 448,          ,  9562,     ,         ,01 33 42.9,-07 01 31, 5.76, 0.64,  G2IV              ,
 449,          ,  9612,     ,         ,01 37 22.5,+74 18 03, 6.58, 0.03,  B9Ve              ,
 450,          ,  9640,     ,         ,01 34 49.1,+18 27 38, 5.89, 1.52,  M2IIIab           ,
 451, 49    Cet,  9672,     ,         ,01 34 37.8,-15 40 34, 5.63, 0.07,  A3V               ,
 452,          ,  9712,     ,         ,01 35 52.5,+41 04 35, 6.38, 1.11,  K1III             ,
 453,          ,  9742,     ,         ,01 34 50.7,-31 53 32, 6.12, 1.11,  K0-1III           ,
 454,          ,  9746,     ,OP And   ,01 36 27.2,+48 43 22, 5.92, 1.21, gK1                ,*
 455,101    Psc,  9766,     ,  559    ,01 35 46.4,+14 39 41, 6.22,-0.04,  B9.5III           ,
 456, 40    Cas,  9774, 1268,  567    ,01 38 30.9,+73 02 24, 5.28, 0.96,  G8III             ,
 457,          ,  9780,     ,         ,01 35 54.8,+17 26 01, 5.80,     ,  F0IV              ,
 458, 50Ups And,  9826,     ,         ,01 36 47.8,+41 24 20, 4.09, 0.54,  F8V               ,*
 459, 50    Cet,  9856,     ,         ,01 35 59.0,-15 24 01, 5.42, 1.21,  K2IIIaBa0.2CN1    ,
 460,          ,  9896,     ,  561    ,01 35 15.2,-58 08 22, 6.01, 0.38,  F2V               ,*
 461,          ,  9900,     ,         ,01 38 07.6,+57 58 39, 5.56, 1.38,  G5II              ,*
 462,   Tau Scl,  9906,     ,         ,01 36 08.4,-29 54 27, 5.69, 0.33,  F2V               ,*
 463,102Pi  Psc,  9919,     ,         ,01 37 05.9,+12 08 30, 5.57, 0.35,  F0V               ,
 464, 51    And,  9927,     ,         ,01 37 59.6,+48 37 42, 3.57, 1.28,  K3-III            ,*
 465,          ,  9996,     ,GY And   ,01 38 31.7,+45 24 00, 6.36, 0.04,  B9pCrEu           ,*
 466,          , 10009,     ,         ,01 37 37.7,-09 24 14, 6.24, 0.53,  F7V               ,*
 467,          , 10042,     ,         ,01 33 39.2,-78 30 17, 6.11, 0.97,  K0III             ,*
 468,          , 10052,     ,         ,01 36 44.8,-58 16 15, 6.18, 1.61,  M3III             ,
 469, 52Chi And, 10072,     ,         ,01 39 21.0,+44 23 10, 4.98, 0.89,  G8III             ,
 470,          , 10110,     ,         ,01 40 13.1,+53 52 06, 6.39, 1.61,  K5III             ,
 471,          , 10142,     ,         ,01 38 27.4,-36 31 42, 5.94, 1.05,  K0IV              ,*
 472,   Alp Eri, 10144,     ,Var      ,01 37 42.9,-57 14 12, 0.46,-0.16,  B3Vpe             ,*
 473,          , 10148,     ,         ,01 38 51.8,-21 16 31, 5.58, 0.34,  A4n               ,
 474,          , 10161, 1298,         ,01 38 50.0,-25 01 19, 6.70,-0.08,  B9Vn              ,
 475,105    Psc, 10164,     ,         ,01 39 40.8,+16 24 21, 5.97, 1.12,  K2III             ,
 476,          , 10204,     ,         ,01 40 39.8,+43 17 52, 5.61, 0.21,sgA9                ,*
